,table_catalog,table_schema,table_name,partition_id,last_modified_time,total_rows
0,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,cvm_gcg_hist,20230206,2023-02-21 06:35:07.463000 UTC,12394882
1,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,lth_ax_sp_seed_5gb_base_stg4,,2022-12-27 09:35:20.371000 UTC,0
2,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,mccm_xcl_quadruple_agg_upsell,,2022-12-23 07:19:14.098000 UTC,0
3,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,tono_fbb_b_number,,2022-12-04 14:43:56.352000 UTC,47443
4,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,lth_nbo_ro_base_offer_hf_axis_stg1_l2,,2022-12-29 10:35:02.258000 UTC,0
5,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,lth_dyn_prc_arpu_revival_base_offers_ob,,2023-04-17 07:19:42.501000 UTC,5979
6,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,lth_wht_pusdatin_batch_3,,2021-12-23 09:03:13.971000 UTC,5038513
7,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,mccm_xc_all_main_offer_catalog,,2023-03-17 02:38:55.503000 UTC,187
8,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,lth_xtra_kuota_base_stg7_4,,2022-12-29 16:27:16.015000 UTC,0
9,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,lth_base_new_acq_stg4,,2022-06-03 09:44:13.499000 UTC,0
10,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,f_d_regional_cvm_subs_rev,__NULL__,2022-06-09 22:13:05.673000 UTC,0
11,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,lth_temp_max_data_prolong,,2022-12-22 08:27:17.491000 UTC,1
12,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,lth_non_sp_seed_5gb_base,__NULL__,2023-03-17 01:06:14.793000 UTC,0
13,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,lth_dyn_prc_base_offers_xc_mini_hist,__NULL__,2023-04-17 07:12:58.685000 UTC,0
14,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,ddt_xc_new_reference,,2021-12-28 08:11:29.220000 UTC,514
15,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,gln_subs_pack_channel,,2023-01-17 09:17:45.267000 UTC,255808890
16,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,lth_non_sp_seed_base_30d_def_taker,,2022-12-22 04:09:17.081000 UTC,9235
17,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,lth_temp_gamification_max_date,,2022-12-30 11:09:19.409000 UTC,1
18,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,lth_ax_hf_sachet_base_stg5_axn_1c_1,,2022-12-27 11:02:43.674000 UTC,0
19,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,adn_xl_iou_bad_debt,20200814,2023-03-07 04:16:54.869000 UTC,2296
20,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,f_d_nbo_offer_post_today_tmp_ben_internal_number,,2023-01-16 06:44:16.336000 UTC,33
21,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,adn_synapse_whitelist_dp_m6,,2022-05-05 01:21:16.679000 UTC,34247674
22,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,lth_base_pack_downgrade_stg5,,2022-06-09 08:51:24.918000 UTC,72919688
23,cvm-cloud-dwh-prod-4383,dev_cvm_analytic_tb,lth_kemendikbud_scoring_2021_subs,,2022-06-10 14:42:53.950000 UTC,5993059
